subdomain,parent_domain,http_status,mx
22juli.teststeder.regjeringen.no,regjeringen.no,302,none
aaa.teststeder.regjeringen.no,regjeringen.no,Could not resolve host: aaa.teststeder.regjeringen.no,none
actionforequality.teststeder.regjeringen.no,regjeringen.no,302,none
ahus.no,ahus.no,301,
akkreditert.no,akkreditert.no,301,
anderdalennasjonalpark.no,anderdalennasjonalpark.no,HttpConnectTimeoutException: HTTP connect timed out,
ansvarlignaringsliv2.teststeder.regjeringen.no,regjeringen.no,200,none
antikorrupsjon.regjeringen.no,regjeringen.no,Could not resolve host: antikorrupsjon.regjeringen.no,none
api.test.data.regjeringen.no,regjeringen.no,404,none
arbeidstilsynet.no,arbeidstilsynet.no,301,
artsdatabanken.no,artsdatabanken.no,HttpConnectTimeoutException: HTTP connect timed out,
asylumregulations.teststeder.regjeringen.no,regjeringen.no,302,none
attache.teststeder.regjeringen.no,regjeringen.no,302,none
aurland-fjellstyre.no,aurland-fjellstyre.no,301,
autismeogtourettesutvalget.teststeder.regjeringen.no,regjeringen.no,302,none
az.teststeder.regjeringen.no,regjeringen.no,302,none
baerekraftnorge.teststeder.regjeringen.no,regjeringen.no,302,none
banenor.no,banenor.no,HttpConnectTimeoutException: HTTP connect timed out,
banklovkommisjonen.teststeder.regjeringen.no,regjeringen.no,302,none
barnehagelarerrollen.teststeder.regjeringen.no,regjeringen.no,302,none
barneombudet.no,barneombudet.no,HttpConnectTimeoutException: HTTP connect timed out,
bbb.teststeder.regjeringen.no,regjeringen.no,Could not resolve host: bbb.teststeder.regjeringen.no,none
bedrestyringogledelse.teststeder.regjeringen.no,regjeringen.no,302,none
beredskapssenter.regjeringen.no,regjeringen.no,Could not resolve host: beredskapssenter.regjeringen.no,none
beredskapssenter.teststeder.regjeringen.no,regjeringen.no,302,none
berekraft.regjeringen.no,regjeringen.no,200,none
beta.edit.regjeringen.no,regjeringen.no,Could not resolve host: beta.edit.regjeringen.no,none
beta.regjeringen.no,regjeringen.no,301,none
beta.svar.regjeringen.no,regjeringen.no,Could not resolve host: beta.svar.regjeringen.no,none
betaedit.regjeringen.no,regjeringen.no,Could not resolve host: betaedit.regjeringen.no,none
bioteknologiradet.no,bioteknologiradet.no,200,
blankholmutvalget.teststeder.regjeringen.no,regjeringen.no,302,none
blogg.regjeringen.no,regjeringen.no,302,none
boligsosialpolitikk.teststeder.regjeringen.no,regjeringen.no,302,none
bpa.teststeder.regjeringen.no,regjeringen.no,302,none
brreg.no,brreg.no,302,
bufetat.no,bufetat.no,HttpConnectTimeoutException: HTTP connect timed out,
build.regjeringen.no,regjeringen.no,Could not resolve host: build.regjeringen.no,none
bvhn.no,bvhn.no,HttpConnectTimeoutException: HTTP connect timed out,
