type,label,website,hostname,level
government_agency,General Chemical State Laboratory,https://www.aade.gr/en/gcsl,aade.gr,
government_agency,Athens Chamber of Commerce and Industry,http://www.acci.gr/acci/Home/tabid/28/language/en-US/Default.aspx,acci.gr,
government_agency,Q55400550,https://acsmi.gr/,acsmi.gr,
government_agency,National Transparency Authority,https://aead.gr/en/,aead.gr,
government_agency,National Transparency Authority,https://aead.gr/,aead.gr,
university,University of the Aegean,https://www.aegean.edu/,aegean.edu,university
university,University of the Aegean,https://www.aegean.gr/,aegean.gr,university
university,Athenian Technology Association,https://akto.gr/,akto.gr,university
government_agency,Court of Cassation,http://www.areiospagos.gr/,areiospagos.gr,central
government_agency,Ephorate of Antiquities of Argolida,https://www.argolisculture.gr/,argolisculture.gr,
government_agency,Hellenic Army General Staff,https://army.gr,army.gr,
government_agency,Supreme Council for Personnel Selection,https://www.asep.gr/,asep.gr,
university,School of Pedagogical and Technological Education,http://www.aspete.gr,aspete.gr,university
university,School of Pedagogical and Technological Education,https://www.aspete.gr,aspete.gr,university
university,Q30014669,https://asterodos.edu.gr,asterodos.edu.gr,university
government_agency,Special Guards,"https://www.astynomia.gr/elliniki-astynomia/anthropino-dynamiko/eidikoi-frouroi/#:~:text=%CE%9F%CE%B9%20%CE%95%CE%B9%CE%B4%CE%B9%CE%BA%CE%BF%CE%AF%20%CE%A6%CF%81%CE%BF%CF%85%CF%81%CE%BF%CE%AF%20%CE%B5%CE%BA%CF%84%CE%B5%CE%BB%CE%BF%CF%8D%CE%BD%20%CE%BA%CE%B1%CE%B8%CE%AE%CE%BA%CE%BF%CE%BD%CF%84%CE%B1,%CE%AE%20%CF%89%CF%82%20%CE%B5%CE%B8%CE%B5%CE%BB%CE%BF%CE%BD%CF%84%CF%8E%CE%BD%20%CF%80%CE%B5%CE%BD%CF%84%CE%B1%CE%B5%CF%84%CE%BF%CF%8D%CF%82%20%CF%85%CF%80%CE%BF%CF%87%CF%81%CE%AD%CF%89%CF%83%CE%B7%CF%82.",astynomia.gr,
government_agency,Special Guards,https://www.astynomia.gr/hellenic-police/human-resources/special-guards/?lang=en,astynomia.gr,
government_agency,Cyber Crime Unit,https://www.astynomia.gr/elliniki-astynomia/eidikes-ypiresies/diefthynsi-dioxis-ilektronikou-egklimatos/,astynomia.gr,
government_agency,Hellenic Police,https://www.astynomia.gr,astynomia.gr,
government_agency,"Embassy of Romania, Athens",https://atena.mae.ro/,atena.mae.ro,central
