subdomain,parent_domain,http_status
autodiscover.gov.tv,gov.tv,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
cabinet.gov.tv,gov.tv,302
climatechange.gov.tv,gov.tv,200
cnmaestro.gov.tv,gov.tv,Could not resolve host: cnmaestro.gov.tv
cpmo.gov.tv,gov.tv,200
crvs.gov.tv,gov.tv,301
csdb.gov.tv,gov.tv,Could not resolve host: csdb.gov.tv
culture.gov.tv,gov.tv,Could not resolve host: culture.gov.tv
dfa.gov.tv,gov.tv,Could not resolve host: dfa.gov.tv
drm.gov.tv,gov.tv,200
election.gov.tv,gov.tv,Could not resolve host: election.gov.tv
environment.gov.tv,gov.tv,200
ferry.tuvalu.gov.tv,gov.tv,200
finance.gov.tv,gov.tv,200
gender.gov.tv,gov.tv,200
gov.tv,gov.tv,Could not resolve host: gov.tv
homeaffairs.gov.tv,gov.tv,200
iakobaitaleli.gov.tv,gov.tv,Connection timed out after 3001 milliseconds
ict.gov.tv,gov.tv,200
italeliiakoba.gov.tv,gov.tv,Could not resolve host: italeliiakoba.gov.tv
link.gov.tv,gov.tv,404
mail.gov.tv,gov.tv,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading
mail.mfin.gov.tv,gov.tv,Could not resolve host: mail.mfin.gov.tv
marine.gov.tv,gov.tv,Could not resolve host: marine.gov.tv
met.gov.tv,gov.tv,Could not resolve host: met.gov.tv
meys.gov.tv,gov.tv,200
mfed.gov.tv,gov.tv,Could not resolve host: mfed.gov.tv
mfin.gov.tv,gov.tv,Could not resolve host: mfin.gov.tv
mhacce.gov.tv,gov.tv,Could not resolve host: mhacce.gov.tv
mlga.gov.tv,gov.tv,Could not resolve host: mlga.gov.tv
mteci.gov.tv,gov.tv,Could not resolve host: mteci.gov.tv
nto.kaupule.gov.tv,gov.tv,200
opl.gov.tv,gov.tv,SSL certificate problem: certificate has expired
parliament.gov.tv,gov.tv,200
portal.gov.tv,gov.tv,Could not resolve host: portal.gov.tv
psc.gov.tv,gov.tv,200
pwd.gov.tv,gov.tv,200
qa.crvs.gov.tv,gov.tv,Could not resolve host: qa.crvs.gov.tv
rt.gov.tv,gov.tv,Connection timed out after 3001 milliseconds
siritaleli.gov.tv,gov.tv,Could not resolve host: siritaleli.gov.tv
stats.gov.tv,gov.tv,200
temis.gov.tv,gov.tv,405
testingdomain.gov.tv,gov.tv,Could not resolve host: testingdomain.gov.tv
tourism.gov.tv,gov.tv,200
tpccbooking.gov.tv,gov.tv,Could not resolve host: tpccbooking.gov.tv
trade.gov.tv,gov.tv,200
tuv-ex13-01.gov.tv,gov.tv,Could not resolve host: tuv-ex13-01.gov.tv
tuv-fmis.gov.tv,gov.tv,Could not resolve host: tuv-fmis.gov.tv
tuvaluclimatechange.gov.tv,gov.tv,503
vpn.gov.tv,gov.tv,Connection timed out after 3000 milliseconds
webdisk.mfin.gov.tv,gov.tv,Could not resolve host: webdisk.mfin.gov.tv
www.cnmaestro.gov.tv,gov.tv,Could not resolve host: www.cnmaestro.gov.tv
www.gov.tv,gov.tv,Could not resolve host: www.gov.tv
www.mail.gov.tv,gov.tv,Could not resolve host: www.mail.gov.tv
www.mfed.gov.tv,gov.tv,Could not resolve host: www.mfed.gov.tv
www.opl.gov.tv,gov.tv,Could not resolve host: www.opl.gov.tv
www.temis.gov.tv,gov.tv,405
www.tuv-fmis.gov.tv,gov.tv,Could not resolve host: www.tuv-fmis.gov.tv
www.tuvaluclimatechange.gov.tv,gov.tv,503
www.vpn.gov.tv,gov.tv,Could not resolve host: www.vpn.gov.tv
