subdomain,parent_domain,http_status
abcd.tsp.gob.cu,gob.cu,"Connection timed out after 3000 milliseconds"
abreus.gob.cu,gob.cu,"301"
aguadadepasajeros.gob.cu,gob.cu,"301"
aguaysaneamiento.hidro.gob.cu,gob.cu,"503"
amppcmg.gob.cu,gob.cu,"Could not resolve host: amppcmg.gob.cu"
apixejel.tsp.gob.cu,gob.cu,"Connection timed out after 3000 milliseconds"
apixejelprueba.tsp.gob.cu,gob.cu,"Connection timed out after 3001 milliseconds"
aquiles.tsp.gob.cu,gob.cu,"Failed to connect to aquiles.tsp.gob.cu port 443 after 557 ms: Could not connect to server"
arroyonaranjo.gob.cu,gob.cu,"301"
artemisa.gob.cu,gob.cu,"301"
autodiscover.inass.gob.cu,gob.cu,"Could not resolve host: autodiscover.inass.gob.cu"
banes.gob.cu,gob.cu,"Operation timed out after 3001 milliseconds with 0 bytes received"
bbb.aduana.gob.cu,gob.cu,"Connection timed out after 3001 milliseconds"
bienestar.apppmy.gob.cu,gob.cu,"Could not resolve host: bienestar.apppmy.gob.cu"
bienestarapp.minjus.gob.cu,gob.cu,"Resolving timed out after 3001 milliseconds"
blue-meet.onat.gob.cu,gob.cu,"Resolving timed out after 3000 milliseconds"
blue-meet1.onat.gob.cu,gob.cu,"Resolving timed out after 3000 milliseconds"
boyeros.gob.cu,gob.cu,"301"
buenaventura.gob.cu,gob.cu,"301"
bueyarriba.gob.cu,gob.cu,"301"
cabaiguan.gob.cu,gob.cu,"Operation timed out after 3001 milliseconds with 0 bytes received"
caimanera.gob.cu,gob.cu,"301"
camaguey.gob.cu,gob.cu,"301"
cas.mincex.gob.cu,gob.cu,"Could not resolve host: cas.mincex.gob.cu"
cayomambi.gob.cu,gob.cu,"301"
centrohabana.gob.cu,gob.cu,"301"
cerro.gob.cu,gob.cu,"301"
certificaciones.minjus.gob.cu,gob.cu,"302"
certs.hidro.gob.cu,gob.cu,"503"
cgrran.contraloria.gob.cu,gob.cu,"TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name"
ch.gob.cu,gob.cu,"Could not resolve host: ch.gob.cu"
chaparra.gob.cu,gob.cu,"Operation timed out after 3000 milliseconds with 0 bytes received"
chat.hidro.gob.cu,gob.cu,"Could not resolve host: chat.hidro.gob.cu"
ciegodeavila.gob.cu,gob.cu,"301"
cienfuegos.gob.cu,gob.cu,"301"
cienfueguero.gob.cu,gob.cu,"301"
cij.minjus.gob.cu,gob.cu,"Could not resolve host: cij.minjus.gob.cu"
citmacam.gob.cu,gob.cu,"SSL certificate problem: self-signed certificate"
ciudadholguin.gob.cu,gob.cu,"200"
ciudadprimada.gob.cu,gob.cu,"301"
civix-portal.tsp.gob.cu,gob.cu,"Could not resolve host: civix-portal.tsp.gob.cu"
civix.tsp.gob.cu,gob.cu,"Connection timed out after 3000 milliseconds"
conferencia.hidro.gob.cu,gob.cu,"TLS connect error: error:0A000458:SSL routines::tlsv1 unrecognized name"
conferencia.mincex.gob.cu,gob.cu,"SSL certificate problem: self-signed certificate"
constitucion.minrex.gob.cu,gob.cu,"Connection timed out after 3000 milliseconds"
correo.citmacam.gob.cu,gob.cu,"Could not resolve host: correo.citmacam.gob.cu"
correo.hidro.gob.cu,gob.cu,"Could not resolve host: correo.hidro.gob.cu"
correo.ij.hidro.gob.cu,gob.cu,"Could not resolve host: correo.ij.hidro.gob.cu"
correo.inass.gob.cu,gob.cu,"Connection timed out after 3000 milliseconds"
correo.micons.gob.cu,gob.cu,"Could not resolve host: correo.micons.gob.cu"
correo.mincex.gob.cu,gob.cu,"SSL certificate problem: unable to get local issuer certificate"
correo.stg.hidro.gob.cu,gob.cu,"Could not resolve host: correo.stg.hidro.gob.cu"
correo.tsp.gob.cu,gob.cu,"Connection timed out after 3001 milliseconds"
correo.vc.hidro.gob.cu,gob.cu,"Could not resolve host: correo.vc.hidro.gob.cu"
cotorro.gob.cu,gob.cu,"301"
cruces.gob.cu,gob.cu,"301"
cuadro-mando.hidro.gob.cu,gob.cu,"SSL certificate problem: unable to get local issuer certificate"
cumanayagua.gob.cu,gob.cu,"Connection timed out after 3001 milliseconds"
cursos.contraloria.gob.cu,gob.cu,"Connection timed out after 3001 milliseconds"
degranma.gob.cu,gob.cu,"Could not resolve host: degranma.gob.cu"
diezdeoctubre.gob.cu,gob.cu,"Could not resolve host: diezdeoctubre.gob.cu"
dmz.onat.gob.cu,gob.cu,"Resolving timed out after 3000 milliseconds"
encuestas.contraloria.gob.cu,gob.cu,"Resolving timed out after 3000 milliseconds"
eregistrations.mincex.gob.cu,gob.cu,"Could not resolve host: eregistrations.mincex.gob.cu"
