type,label,website,hostname,level
university,Aden University,https://adenuniversity.edu.pa/,adenuniversity.edu.pa,university
government_agency,National Bank of Panama,https://www.banconal.com.pa,banconal.com.pa,
government_agency,National Library of Panama,http://www.binal.ac.pa/binal/,binal.ac.pa,
university,Columbus University,http://www.columbus.edu,columbus.edu,university
government_agency,Delegation of the European Union to Panama,https://eeas.europa.eu/delegations/panama_en,eeas.europa.eu,
government_agency,embassy of Honduras in Panama,https://www.embahn-panama.com,embahn-panama.com,central
government_agency,embassy of Bolivia in Panama,https://embajadabolpan.com,embajadabolpan.com,central
government_agency,embassy of Costa Rica in Panama,https://www.embajadacostaricaenpanama.com,embajadacostaricaenpanama.com,central
government_agency,"Embassy of India, Panama City",https://indianembassyinpanama.com/,indianembassyinpanama.com,central
university,ISAE University,https://www.isaeuniversidad.ac.pa/,isaeuniversidad.ac.pa,university
government_agency,Jesuit Province of Central America,https://jesuitascam.org/,jesuitascam.org,
constitutional_court,Jesuit Province of Central America,https://jesuitascam.org/,jesuitascam.org,
government_agency,"Embassy of the United Arab Emirates, Panama",https://www.mofaic.gov.ae/missions/UAE-Missions-Abroad/UAE-Missions-Abroad-Details?countryId=f2feb282-d29f-4fa2-a238-a229da9d2566,mofaic.gov.ae,central
government_agency,"Embassy of France, Panama City",https://pa.ambafrance.org/,pa.ambafrance.org,central
government_agency,"Embassy of the People's Republic of China, Panama City",http://pa.china-embassy.org,pa.china-embassy.org,central
government_agency,embassy of the United States in Panama,https://pa.usembassy.gov,pa.usembassy.gov,central
government_agency,embassy of Qatar in Panama,https://panama-city.embassy.qa,panama-city.embassy.qa,central
government_agency,"Embassy of Germany, Panama",https://panama.diplo.de/,panama.diplo.de,central
government_agency,embassy of Russia in Panama,https://panama.mid.ru,panama.mid.ru,central
government_agency,Panama Canal Authority,https://www.pancanal.com/,pancanal.com,
university,Quality Leadership University Panama,http://www.qlu.ac.pa,qlu.ac.pa,university
university,Q134617189,https://www.ucaribe.com,ucaribe.com,university
university,UDELAS,http://www.udelas.ac.pa/,udelas.ac.pa,university
university,University of the Isthmus,http://www.udelistmo.edu/,udelistmo.edu,university
university,Q12185335,https://uial.ac.pa/,uial.ac.pa,university
university,Latin American University of Science and Technology,http://www.ulacit.ac.pa,ulacit.ac.pa,university
university,Latin University of Panama,http://www.ulat.ac.pa,ulat.ac.pa,university
university,International Maritime University of Panama,https://www.umip.ac.pa,umip.ac.pa,university
university,Universidad Autónoma de Chiriquí,http://www.unachi.ac.pa,unachi.ac.pa,university
university,Q6156325,http://www.unadp.ac.pa,unadp.ac.pa,university
university,University of Panama,http://www.up.ac.pa,up.ac.pa,university
university,Technological University of Panama,https://utp.ac.pa,utp.ac.pa,university
university,West Coast University – Panama,http://www.westcoastuniversity.edu.pa,westcoastuniversity.edu.pa,university
