type,label,website,hostname,level
government_agency,Constitution Protection Office,http://www.ah.gov.hu,ah.gov.hu,
government_agency,German-Hungarian Chamber of Industry and Commerce,https://www.ahkungarn.hu/,ahkungarn.hu,
government_agency,German-Hungarian Chamber of Industry and Commerce,https://www.ahkungarn.hu/hu/,ahkungarn.hu,
government_agency,Q50985648,http://www.ajbh.hu,ajbh.hu,
government_agency,Government Debt Management Agency,https://www.akk.hu/,akk.hu,
government_agency,"Embassy of Algeria, Budapest",http://algerianembassy.hu/,algerianembassy.hu,central
government_agency,Constitutional Court of Hungary,https://alkotmanybirosag.hu/,alkotmanybirosag.hu,central
government_agency,Hungarian State Treasury,http://www.allamkincstar.gov.hu,allamkincstar.gov.hu,
government_agency,"Embassy of Kosovo, Budapest",https://ambasadat.net/hungari,ambasadat.net,central
government_agency,State Audit Office of Hungary,https://asz.hu/,asz.hu,
government_agency,Centre for Agricultural Research,https://atk.hun-ren.hu/hu/,atk.hun-ren.hu,
government_agency,National Self-Government of Romanians in Hungary,https://atruroman.hu/,atruroman.hu,
government_agency,Bács-Kiskun Megyei Levéltár,http://www.bacs-kiskun-leveltar.hu,bacs-kiskun-leveltar.hu,
parliament,Bács-Kiskun County Assembly,https://www.bacskiskun.hu/lap/kozgyules,bacskiskun.hu,central-1
government_agency,Magyar Nemzeti Levéltár Békés Megyei Levéltára,http://www.bekes-archiv.hu,bekes-archiv.hu,
government_agency,Budapest City Archives,http://bfl.archivportal.hu,bfl.archivportal.hu,
government_agency,Balaton Uplands National Park Directorate,https://www.bfnp.hu/,bfnp.hu,
government_agency,Q140998828,https://birosag.hu/fovarosi-itelotabla,birosag.hu,
government_agency,National Court Office,http://birosag.hu/obh,birosag.hu,
government_agency,Kereskedelmi és Iparkamara,http://bkik.hu/,bkik.hu,
government_agency,Immigration and Asylum Office,http://www.bmbah.hu,bmbah.hu,
government_agency,Magyar Nemzeti Levéltár Baranya Megyei Levéltára,http://www.bml.hu,bml.hu,
government_agency,National Bulgarian Minority Self - Government,http://www.bolgarok.hu/,bolgarok.hu,
government_agency,Budapest City Archives,http://bparchiv.hu/index.php,bparchiv.hu,
government_agency,"Embassy of Germany, Budapest",https://budapest.diplo.de/hu-de/,budapest.diplo.de,central
government_agency,"Embassy of Germany, Budapest",https://budapest.diplo.de/,budapest.diplo.de,central
government_agency,embassy of Mongolia in Hungary,http://www.budapest.embassy.mn,budapest.embassy.mn,central
government_agency,"Embassy of Qatar, Budapest",https://budapest.embassy.qa/,budapest.embassy.qa,central
government_agency,European Parliament Liaison Office in Hungary,https://budapest.europarl.europa.eu,budapest.europarl.europa.eu,central
government_agency,"Embassy of Estonia, Budapest",https://budapest.mfa.ee/,budapest.mfa.ee,central
government_agency,embassy of Thailand in Hungary,https://budapest.thaiembassy.org,budapest.thaiembassy.org,central
government_agency,"Embassy of Romania, Budapest",https://budapesta.mae.ro/,budapesta.mae.ro,central
government_agency,"Embassy of Slovenia, Budapest",http://budimpesta.veleposlanistvo.si/,budimpesta.veleposlanistvo.si,central
government_agency,Jász-Nagykun-Szolnok County Remand Prison,http://bv.gov.hu/szolnok,bv.gov.hu,central-1
government_agency,Hungarian Prison Service,http://www.bv.gov.hu,bv.gov.hu,
government_agency,European Union Agency for Law Enforcement Training,https://www.cepol.europa.eu/,cepol.europa.eu,local
government_agency,"Embassy of the People's Republic of China, Budapest",http://www.chinaembassy.hu/,chinaembassy.hu,central
government_agency,Magyar Nemzeti Levéltár Csongrád Megyei Levéltára,http://www.csml.hu,csml.hu,
government_agency,South Great Plain Regional Innovation Agency,http://www.darinno.hu/en/?section=modules/content/content_pages.php&content_pages_id=159,darinno.hu,
government_agency,Danube–Drava National Park Directorate,https://www.ddnp.hu,ddnp.hu,
government_agency,Consulate-General of Russia in Debrecen,https://debrecen.mid.ru/,debrecen.mid.ru,
government_agency,Jahn Ferenc Dél-Pesti Kórház és Rendelőintézet,https://www.delpestikorhaz.hu/,delpestikorhaz.hu,
government_agency,Centre for Democracy Public Foundation,https://www.demkk.hu,demkk.hu,
government_agency,Q111128092,https://www.dunaipoly.hu,dunaipoly.hu,
government_agency,European Institute of Innovation and Technology,https://www.eit.europa.eu/,eit.europa.eu,local
government_agency,Eötvös József Főiskola,http://www.ejf.hu,ejf.hu,
government_agency,"Embassy of Finland, Budapest",https://finlandabroad.fi/web/hun/,finlandabroad.fi,central
government_agency,Institute of Geodesy Cartography and Remote Sensing,http://fomi.hu/,fomi.hu,
government_agency,Pest Central District Court,https://fovarositorvenyszek.birosag.hu/jarasbirosagok/pesti-kozponti-keruleti-birosag,fovarositorvenyszek.birosag.hu,
government_agency,Hungarian Competition Authority,http://www.gvh.hu,gvh.hu,
government_agency,"Consulate General of Romania, Gyula",https://gyula.mae.ro,gyula.mae.ro,
government_agency,Hungarian Atomic Energy Authority,http://www.haea.gov.hu,haea.gov.hu,
government_agency,Magyar Nemzeti Levéltár Hajdú-Bihar Megyei Levéltára,http://hbml.archivportal.hu,hbml.archivportal.hu,
government_agency,HÉTFA Research Institute,http://hetfa.eu/,hetfa.eu,
government_agency,Magyar Nemzeti Levéltár Heves Megyei Levéltára,http://www.hevesarchiv.hu,hevesarchiv.hu,
government_agency,General Staff of the Armed Forces of the Republic of Hungary,https://honvedelem.hu/a-magyar-honvedseg-parancsnoksaga.html,honvedelem.hu,
government_agency,Croatian state self-government,https://www.horvatok.hu/,horvatok.hu,
government_agency,"Embassy of France, Budapest",https://hu.ambafrance.org/,hu.ambafrance.org,central
government_agency,embassy of Lithuania in Hungary,http://hu.mfa.lt,hu.mfa.lt,central
government_agency,"Embassy of Croatia, Budapest",http://hu.mvep.hr/,hu.mvep.hr,central
government_agency,"Embassy of the United States, Budapest",https://hu.usembassy.gov/,hu.usembassy.gov,central
government_agency,Q89981643,http://www.hungarofest.hu/,hungarofest.hu,
government_agency,"Embassy of Russia, Budapest",https://hungary.mid.ru/,hungary.mid.ru,central
government_agency,European Commission Representation in Hungary,https://hungary.representation.ec.europa.eu/,hungary.representation.ec.europa.eu,
government_agency,Information Office Hungary,https://www.ih.gov.hu/,ih.gov.hu,
government_agency,Polish Institute in Budapest,https://instytutpolski.pl/budapest/pl/,instytutpolski.pl,
government_agency,Integrity Authority,https://www.integritashatosag.hu,integritashatosag.hu,
government_agency,Q1216622,https://intezet.nori.gov.hu/nemzeti-emlekhely-es-kegyeleti-bizottsag/,intezet.nori.gov.hu,
government_agency,Janus Pannonius Museum,http://jpm.hu/,jpm.hu,
government_agency,Secretariat of the Hungarian Judo Association,https://judo.hu/szovetseg/szervezet/18,judo.hu,
government_agency,National Directorate General for Disaster Management,http://www.katasztrofavedelem.hu/,katasztrofavedelem.hu,
government_agency,Directorate General for Public Procurement and Supply,http://www.kef.gov.hu/,kef.gov.hu,
government_agency,Kecskeméti Tankerületi Központ,https://kk.gov.hu/kecskemet,kk.gov.hu,
government_agency,Békéscsaba school district,https://kk.gov.hu/bekescsaba,kk.gov.hu,
government_agency,Pápai Tankerületi Központ,https://kk.gov.hu/papa,kk.gov.hu,
government_agency,Közép-Pesti Tankerületi Központ,https://kk.gov.hu/kozeppest,kk.gov.hu,
government_agency,Jászberényi Tankerületi Központ,https://kk.gov.hu/jaszbereny,kk.gov.hu,
government_agency,Közép-Budai Tankerületi Központ,https://kk.gov.hu/kozepbuda,kk.gov.hu,
government_agency,Külső-Pesti Tankerületi Központ,https://kk.gov.hu/kulsopest,kk.gov.hu,
government_agency,Balatonfüred school district,https://kk.gov.hu/balatonfured,kk.gov.hu,
government_agency,Szigetszentmiklósi Tankerületi Központ,https://kk.gov.hu/szigetszentmiklos,kk.gov.hu,
government_agency,Berettyóújfalui Tankerületi Központ,https://kk.gov.hu/berettyoujfalu,kk.gov.hu,
government_agency,Szombathelyi Tankerületi Központ,https://kk.gov.hu/szombathely,kk.gov.hu,
government_agency,Szolnoki Tankerületi Központ,https://kk.gov.hu/szolnok,kk.gov.hu,
