hostname,score,sources,label,level,http_status,mx
dna.sr,7,wikidata;wikidata,National Assembly,central,,
cbvs.sr,4,wikidata,Centrale Bank van Suriname,,,
eas.sr,4,wikidata,Energie Autoriteit Suriname,,,
kkf.sr,4,wikidata,Chamber of Commerce and Factories,,,
nationaalarchief.sr,4,wikidata,National Archives of Suriname,,,
politie.sr,4,wikidata,Korps Politie Suriname,,,
sbb.sr,4,wikidata,Q126371676,,,
nccr.sr.org,3,wikidata,National Coordination Center for Disaster Relief of Suriname,,,
statistics-suriname.org,3,wikidata,General Bureau of Statistics,central,,
surguychamber.org,3,wikidata,Suriname-Guyana Kamer van Koophandel,,,
taalunie.org,3,wikidata,Dutch Language Union,,,
