hostname,score,sources,label,level
egov.bg,10,un_desa;linkgraph,UN/DESA national portal,
parliament.bg,10,wikidata;wikidata;linkgraph,National Assembly of Bulgaria,central
government.bg,7,linkgraph,Linked from 20 public-sector domains,
mc.government.bg,7,wikidata;wikidata,Ministry of Culture of Bulgaria,
me.government.bg,7,wikidata;wikidata,Ministry of Energy of Bulgaria,
mfa.bg,7,wikidata;wikidata,Ministry of Foreign Affairs of Bulgaria,
mh.government.bg,7,wikidata;wikidata,Ministry of Health of Bulgaria,
minfin.bg,7,wikidata;wikidata,Ministry of Finance,
moew.government.bg,7,wikidata;wikidata,Ministry of Environment and Water,
mon.bg,7,wikidata;wikidata,Ministry of Education and Science of Bulgaria,
mpes.government.bg,7,wikidata;wikidata,Ministry of Youth and Sports of Bulgaria,
mtitc.government.bg,7,wikidata;wikidata,"Ministry of Transport, Information Technology and Communications",
mvr.bg,7,wikidata;wikidata,Ministry of Interior of Bulgaria,
tourism.government.bg,7,wikidata;wikidata,Ministry of Tourism,
cpdp.bg,5,linkgraph,Linked from 5 public-sector domains,
egov.government.bg,4,wikidata,Ministry of Electronic Government,
justice.government.bg,4,wikidata,Ministry of Justice,
kzp.bg,4,linkgraph,Linked from 3 public-sector domains,
mi.government.bg,4,wikidata,Ministry of Economy and Industry,
mig.government.bg,4,wikidata,Ministry of Innovation and Growth,
mlsp.government.bg,4,wikidata,Ministry of Labour and Social Policy,
mod.bg,4,wikidata,Ministry of Defence of Bulgaria,
mzh.government.bg,4,wikidata,"Ministry of Agriculture, Food and Forestry",
nra.bg,4,linkgraph,Linked from 3 public-sector domains,
