type,label,website,hostname,level
ministry,Ministry of National Education,http://www.men.gov.pl/,men.gov.pl,
ministry,Ministry of Justice,https://www.ms.gov.pl/,ms.gov.pl,
ministry,Ministry of Climate and Environment,https://www.gov.pl/web/klimat,gov.pl,
ministry,Ministry of Science and Higher Education,https://www.gov.pl/web/nauka,gov.pl,
ministry,Ministry of State Assets,https://www.gov.pl/web/aktywa-panstwowe,gov.pl,
ministry,Ministry of Development Funds and Regional Policy,https://www.gov.pl/web/fundusze-regiony,gov.pl,
ministry,Ministry of National Defence of Poland,https://www.gov.pl/web/obrona-narodowa,gov.pl,
ministry,Ministry of Development and Technology (Poland),https://www.gov.pl/web/rozwoj-technologia,gov.pl,
ministry,Ministry of Agriculture and Rural Development,https://www.gov.pl/web/rolnictwo/,gov.pl,
ministry,Ministry of Foreign Affairs of Poland,http://www.gov.pl/dyplomacja,gov.pl,
ministry,Ministry of Industry,https://www.gov.pl/web/przemysl,gov.pl,
ministry,Ministry of Infrastructure of Poland,https://www.gov.pl/web/infrastruktura,gov.pl,
ministry,Ministry of Digital Affairs,https://mc.gov.pl/,mc.gov.pl,
ministry,Ministry of Interior and Administration,https://www.gov.pl/web/mswia,gov.pl,
ministry,Ministry of Culture and National Heritage,http://www.gov.pl/kultura,gov.pl,
ministry,Ministry of Health of Poland,https://www.gov.pl/web/zdrowie,gov.pl,
ministry,Ministry of Finance of Poland,http://www.mf.gov.pl/,mf.gov.pl,
ministry,Ministry of Sport and Tourism,https://www.gov.pl/web/sport,gov.pl,
ministry,"Ministry of Family, Labour and Social Policy",https://www.gov.pl/web/rodzina,gov.pl,
parliament,Silesian Regional Assembly,http://sejmik.slaskie.pl/,sejmik.slaskie.pl,
parliament,Lesser Poland Regional Assembly,http://www.malopolskie.pl/Sejmik/Informacje,malopolskie.pl,
constitutional_court,Province of Our Lady of the Angels of the Friars Minor in Kraków,http://www.franciszkanie.org.pl/,franciszkanie.org.pl,
constitutional_court,Province of Saint Francis of the Friars Minor in Poznań,http://www.franciszkanie.net/,franciszkanie.net,
constitutional_court,Province of Saint Hedwig of Silesia of the Friars Minor in Wrocław,http://www.franciszkanie.com/,franciszkanie.com,
constitutional_court,Chancellery of the Prime Minister of Poland,https://www.premier.gov.pl,premier.gov.pl,
constitutional_court,Polish Dominican Province,https://dominikanie.pl/,dominikanie.pl,
constitutional_court,Piarist province of Poland,https://www.pijarzy.pl,pijarzy.pl,
constitutional_court,Bernardines (Franciscans),http://www.bernardyni.com/,bernardyni.com,
constitutional_court,Q11828045,http://www.zakonfranciszkanów.pl/,zakonfranciszkanów.pl,
constitutional_court,Province of the Assumption of the Blessed Virgin Mary of the Friars Minor in Katowice,http://www.panewniki.franciszkanie.pl/,panewniki.franciszkanie.pl,
