subdomain,http_status,mx
0.ntp.rpb.gov.tw,Could not resolve host: 0.ntp.rpb.gov.tw,none
0800056476.sme.gov.tw,Could not resolve host: 0800056476.sme.gov.tw,none
100.moi.gov.tw,Failed to connect to 100.moi.gov.tw port 443 after 1322 ms: Could not connect to server,none
101.health.gov.tw,Could not resolve host: 101.health.gov.tw,none
103etutor.moe.gov.tw,Could not resolve host: 103etutor.moe.gov.tw,none
113.mohw.gov.tw,Connection timed out after 3002 milliseconds,none
117-56-73-150.ip.rpb.gov.tw,Could not resolve host: 117-56-73-150.ip.rpb.gov.tw,none
119.chfd.gov.tw,Connection timed out after 3000 milliseconds,none
119.fire.taichung.gov.tw,Connection timed out after 3001 milliseconds,none
119.ntfd.gov.tw,Connection timed out after 3001 milliseconds,none
1872.arte.gov.tw,200,none
1910.water.gov.tw,Could not resolve host: 1910.water.gov.tw,10 1910.water.gov.tw.
2017exam.epb.taichung.gov.tw,Could not resolve host: 2017exam.epb.taichung.gov.tw,none
2018events.nmmst.gov.tw,SSL: no alternative certificate subject name matches target hostname '2018events.nmmst.gov.tw',none
2018exam.epb.taichung.gov.tw,Could not resolve host: 2018exam.epb.taichung.gov.tw,none
211-79-171-235.ip.rpb.gov.tw,Resolving timed out after 3000 milliseconds,none
211-79-171-95.ip.rpb.gov.tw,Could not resolve host: 211-79-171-95.ip.rpb.gov.tw,none
235.171.79.211.ip.rpb.gov.tw,Resolving timed out after 3000 milliseconds,dig error
2k3dmz2.moea.gov.tw,Could not resolve host: 2k3dmz2.moea.gov.tw,none
2k3dmz5.moea.gov.tw,Could not resolve host: 2k3dmz5.moea.gov.tw,none
3in1.ejob.gov.tw,Operation timed out after 3002 milliseconds with 0 bytes received,none
40556789.taipei.gov.tw,Failed to connect to 40556789.taipei.gov.tw port 443 after 1448 ms: Could not connect to server,dig error
4rent.labor.ntpc.gov.tw,Resolving timed out after 3000 milliseconds,dig error
802.mnd.gov.tw,403,none
803.mnd.gov.tw,403,none
807itaipei.mnd.gov.tw,Connection timed out after 3000 milliseconds,none
813.mnd.gov.tw,403,none
81kh.kcg.gov.tw,Could not resolve host: 81kh.kcg.gov.tw,none
9hr.k12ea.gov.tw,Connection timed out after 3001 milliseconds,10 9hr.k12ea.gov.tw.
9hr1.k12ea.gov.tw,Could not resolve host: 9hr1.k12ea.gov.tw,none
9hrold.k12ea.gov.tw,Could not resolve host: 9hrold.k12ea.gov.tw,none
9std-adm.k12ea.gov.tw,Connection timed out after 3000 milliseconds,10 9std-adm.k12ea.gov.tw.
a-team.tcnr.gov.tw,Resolving timed out after 3000 milliseconds,dig error
a0-moenrhome.epa.gov.tw,Resolving timed out after 3000 milliseconds,dig error
a0501.ntbt.gov.tw,Failed to connect to a0501.ntbt.gov.tw port 443 after 2223 ms: Could not connect to server,none
aa.archives.gov.tw,404,none
aadmz.moea.gov.tw,Could not resolve host: aadmz.moea.gov.tw,none
abs.dgpa.gov.tw,Could not resolve host: abs.dgpa.gov.tw,none
academy.ceramics.ntpc.gov.tw,Resolving timed out after 3001 milliseconds,dig error
academy.coa.gov.tw,Could not resolve host: academy.coa.gov.tw,none
accounting-x1.moe.gov.tw,Connection timed out after 3000 milliseconds,none
accounting.moe.gov.tw,Connection timed out after 3001 milliseconds,none
acms.csptc.gov.tw,Could not resolve host: acms.csptc.gov.tw,none
activitysys.tipo.gov.tw,403,none
addrbook.dgpa.gov.tw,Connection timed out after 3001 milliseconds,none
admdata.tycg.gov.tw,Could not resolve host: admdata.tycg.gov.tw,none
admin.einvoice.nat.gov.tw,Could not resolve host: admin.einvoice.nat.gov.tw,none
advisory.yda.gov.tw,200,none
aecemap.aec.gov.tw,Resolving timed out after 3000 milliseconds,dig error
aecie.aec.gov.tw,Resolving timed out after 3001 milliseconds,dig error
aeclice.aec.gov.tw,Resolving timed out after 3001 milliseconds,dig error
aecrp.aec.gov.tw,Resolving timed out after 3000 milliseconds,dig error
aecrpr.aec.gov.tw,Resolving timed out after 3000 milliseconds,dig error
aecrpsso.aec.gov.tw,Resolving timed out after 3001 milliseconds,dig error
aecsysad.aec.gov.tw,Resolving timed out after 3000 milliseconds,dig error
aedoc.moj.gov.tw,Could not resolve host: aedoc.moj.gov.tw,none
aeoapp.customs.gov.tw,Operation timed out after 3001 milliseconds with 0 bytes received,none
aers.epa.gov.tw,Connection timed out after 3001 milliseconds,none
aesearch.taichung.gov.tw,404,none
afforest.swcb.gov.tw,Could not resolve host: afforest.swcb.gov.tw,none
afsod.doh.gov.tw,Could not resolve host: afsod.doh.gov.tw,none
afterschool.moe.gov.tw,Connection timed out after 3001 milliseconds,none
agamb.mofa.gov.tw,Could not resolve host: agamb.mofa.gov.tw,none
agent.wda.gov.tw,200,none
agrcas.dgbas.gov.tw,Could not resolve host: agrcas.dgbas.gov.tw,none
agrerp.coa.gov.tw,Could not resolve host: agrerp.coa.gov.tw,none
agriculture.ntpc.gov.tw,Resolving timed out after 3000 milliseconds,none
agridl.tari.gov.tw,Connection timed out after 3000 milliseconds,dig error
agriti.coa.gov.tw,Could not resolve host: agriti.coa.gov.tw,none
agtech.coa.gov.tw,Could not resolve host: agtech.coa.gov.tw,none
agtechonline.coa.gov.tw,Could not resolve host: agtechonline.coa.gov.tw,none
ai.taiwan.gov.tw,Could not resolve host: ai.taiwan.gov.tw,none
air.epa.gov.tw,Could not resolve host: air.epa.gov.tw,dig error
air10.epa.gov.tw,Resolving timed out after 3000 milliseconds,none
aiss.anws.gov.tw,Connection timed out after 3002 milliseconds,none
aiss1.anws.gov.tw,Could not resolve host: aiss1.anws.gov.tw,none
alert.cdc.gov.tw,Could not resolve host: alert.cdc.gov.tw,none
alerts.ncdr.nat.gov.tw,302,none
algal-reef.tycg.gov.tw,200,none
am.baphiq.gov.tw,Could not resolve host: am.baphiq.gov.tw,dig error
aman.cla.gov.tw,Could not resolve host: aman.cla.gov.tw,none
aman.mol.gov.tw,Could not resolve host: aman.mol.gov.tw,none
amdrug.baphiq.gov.tw,Could not resolve host: amdrug.baphiq.gov.tw,dig error
amds.post.gov.tw,Could not resolve host: amds.post.gov.tw,none
amdsc.post.gov.tw,Could not resolve host: amdsc.post.gov.tw,none
amg.good.nat.gov.tw,Could not resolve host: amg.good.nat.gov.tw,none
amiwb.post.gov.tw,200,none
anding-lib.tainan.gov.tw,Could not resolve host: anding-lib.tainan.gov.tw,none
antispam.tipo.gov.tw,Connection timed out after 3001 milliseconds,none
ap.asc.moe.gov.tw,Connection timed out after 3000 milliseconds,none
ap.land.ntpc.gov.tw,Resolving timed out after 3001 milliseconds,dig error
ap.sso.moe.gov.tw,Connection timed out after 3000 milliseconds,none
ap.xinzhuang.land.ntpc.gov.tw,Connection timed out after 3002 milliseconds,none
ap0512.most.gov.tw,Could not resolve host: ap0512.most.gov.tw,none
ap0513.most.gov.tw,Could not resolve host: ap0513.most.gov.tw,none
ap0520.most.gov.tw,Could not resolve host: ap0520.most.gov.tw,none
ap0704.most.gov.tw,Could not resolve host: ap0704.most.gov.tw,none
ap0712.most.gov.tw,Could not resolve host: ap0712.most.gov.tw,none
ap0716.most.gov.tw,Could not resolve host: ap0716.most.gov.tw,none
ap0906.most.gov.tw,Could not resolve host: ap0906.most.gov.tw,none
ap43.moea.gov.tw,Could not resolve host: ap43.moea.gov.tw,none
api.msg.nat.gov.tw,Could not resolve host: api.msg.nat.gov.tw,none
api.secret.taichung.gov.tw,Could not resolve host: api.secret.taichung.gov.tw,none
api.tgos.nat.gov.tw,Could not resolve host: api.tgos.nat.gov.tw,none
apims.chcg.gov.tw,Could not resolve host: apims.chcg.gov.tw,none
apmis.epa.gov.tw,Connection timed out after 3001 milliseconds,none
apmistest.epa.gov.tw,Connection timed out after 3002 milliseconds,none
app.tcpd.gov.tw,Connection timed out after 3001 milliseconds,none
app110.npa.gov.tw,504,none
app119.tfd.gov.tw,SSL certificate problem: unable to get local issuer certificate,none
appark.chcg.gov.tw,Connection timed out after 3002 milliseconds,none
appeal-mgr.cpc.ey.gov.tw,Could not resolve host: appeal-mgr.cpc.ey.gov.tw,none
appeal.cpc.ey.gov.tw,302,none
appeal.moe.gov.tw,Connection timed out after 3002 milliseconds,none
apply.spnp.gov.tw,Could not resolve host: apply.spnp.gov.tw,none
apply.yatsen.gov.tw,Could not resolve host: apply.yatsen.gov.tw,none
apps.ntpc.gov.tw,Resolving timed out after 3000 milliseconds,none
appstore.ntpc.gov.tw,Resolving timed out after 3001 milliseconds,none
aps163.tchb.gov.tw,Resolving timed out after 3001 milliseconds,none
aq.npa.gov.tw,Connection timed out after 3001 milliseconds,none
arch.railway.gov.tw,Could not resolve host: arch.railway.gov.tw,none
ards.cy.gov.tw,Could not resolve host: ards.cy.gov.tw,none
arspb.most.gov.tw,Could not resolve host: arspb.most.gov.tw,none
art.archives.gov.tw,Operation timed out after 3001 milliseconds with 0 bytes received,none
artm.hpa.gov.tw,Connection timed out after 3000 milliseconds,none
artt.hpa.gov.tw,Could not resolve host: artt.hpa.gov.tw,none
aruba.chcsec.gov.tw,Could not resolve host: aruba.chcsec.gov.tw,none
aruba.hl.gov.tw,Connection timed out after 3001 milliseconds,none
asp.customs.gov.tw,Connection timed out after 3001 milliseconds,none
assetweb.cy.gov.tw,200,none
assist.nat.gov.tw,301,none
ati.atc.gov.tw,Could not resolve host: ati.atc.gov.tw,none
att.trade.gov.tw,Connection timed out after 3001 milliseconds,none
aud.cpa.gov.tw,Could not resolve host: aud.cpa.gov.tw,none
aud.dgpa.gov.tw,Connection timed out after 3001 milliseconds,none
auth.itaiwan.gov.tw,200,none
auth.wifi.ntpc.gov.tw,Resolving timed out after 3000 milliseconds,dig error
autodiscover.cromotc.nat.gov.tw,Could not resolve host: autodiscover.cromotc.nat.gov.tw,none
autodiscover.ey.gov.tw,Failed to connect to autodiscover.ey.gov.tw port 443 after 255 ms: Could not connect to server,none
autodiscover.fsc.gov.tw,Failed to connect to autodiscover.fsc.gov.tw port 443 after 366 ms: Could not connect to server,none
autodiscover.fscey.gov.tw,Could not resolve host: autodiscover.fscey.gov.tw,none
autodiscover.health.gov.tw,Could not resolve host: autodiscover.health.gov.tw,none
autodiscover.ib.gov.tw,Failed to connect to autodiscover.ib.gov.tw port 443 after 452 ms: Could not connect to server,none
autodiscover.iner.gov.tw,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading,none
autodiscover.intra.ndc.gov.tw,Connection timed out after 3000 milliseconds,none
autodiscover.meea.gov.tw,Resolving timed out after 3001 milliseconds,none
autodiscover.moea.gov.tw,Could not resolve host: autodiscover.moea.gov.tw,none
autodiscover.ndc.gov.tw,Connection timed out after 3001 milliseconds,none
autodiscover.railway.gov.tw,Could not resolve host: autodiscover.railway.gov.tw,none
autodiscover.skype.ly.gov.tw,Resolving timed out after 3000 milliseconds,none
autodiscover.tcpd.gov.tw,Connection timed out after 3001 milliseconds,none
autodiscover.thb.gov.tw,Connection timed out after 3001 milliseconds,none
autodiscovet.epa.gov.tw,Resolving timed out after 3000 milliseconds,none
auxiliary.ib.gov.tw,Could not resolve host: auxiliary.ib.gov.tw,none
avisomanager.tycg.gov.tw,Could not resolve host: avisomanager.tycg.gov.tw,none
awards.kmfa.gov.tw,Could not resolve host: awards.kmfa.gov.tw,none
b2cbc.cbc.gov.tw,Could not resolve host: b2cbc.cbc.gov.tw,none
back.cpc.ey.gov.tw,Could not resolve host: back.cpc.ey.gov.tw,none
back.cpc.gov.tw,Connection timed out after 3002 milliseconds,none
balloontaiwan.taitung.gov.tw,Operation timed out after 3000 milliseconds with 0 bytes received,none
bcabdc.tcg.gov.tw,Connection timed out after 3001 milliseconds,none
bcf.cbc.gov.tw,Connection timed out after 3001 milliseconds,none
bdsone.taitung.gov.tw,200,none
bee.afa.gov.tw,Connection timed out after 3000 milliseconds,none
beinan.gov.tw,301,0 beinan.gov.tw.
bgsys.moea.gov.tw,Could not resolve host: bgsys.moea.gov.tw,none
bhdns.rpb.gov.tw,403,none
bi.kcg.gov.tw,Could not resolve host: bi.kcg.gov.tw,none
bigdata.iot.gov.tw,Could not resolve host: bigdata.iot.gov.tw,none
bigdata.moea.gov.tw,Could not resolve host: bigdata.moea.gov.tw,none
bikeway.tainan.gov.tw,Could not resolve host: bikeway.tainan.gov.tw,none
